"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 17, 2020","7,036.4","7,122.0","7,157.5","7,002.5","0.25K","-1.20%"
"Apr 16, 2020","7,122.0","6,647.4","7,213.0","6,500.0","0.48K","7.14%"
"Apr 15, 2020","6,647.4","6,888.2","6,944.9","6,616.0","0.20K","-3.50%"
"Apr 14, 2020","6,888.2","6,863.1","6,987.1","6,778.1","0.17K","0.37%"
"Apr 13, 2020","6,863.1","6,917.2","6,917.2","6,580.1","0.33K","-0.78%"
"Apr 12, 2020","6,917.2","6,900.0","7,200.0","6,811.1","0.18K","0.25%"
"Apr 11, 2020","6,900.0","6,877.7","6,965.6","6,780.8","0.11K","0.32%"
"Apr 10, 2020","6,877.7","7,310.9","7,316.5","6,755.1","0.39K","-5.93%"
"Apr 09, 2020","7,310.9","7,378.1","7,388.1","7,124.0","0.30K","-0.91%"
"Apr 08, 2020","7,378.1","7,214.7","7,424.8","7,171.9","0.20K","2.26%"
"Apr 07, 2020","7,214.7","7,356.4","7,489.8","7,100.0","0.39K","-1.93%"
"Apr 06, 2020","7,356.4","6,792.9","7,370.0","6,776.0","0.39K","8.30%"
"Apr 05, 2020","6,792.9","6,880.5","6,899.9","6,679.0","0.23K","-1.27%"
"Apr 04, 2020","6,880.5","6,743.0","7,000.0","6,666.6","0.27K","2.04%"
"Apr 03, 2020","6,743.0","6,813.5","7,050.0","6,620.0","0.32K","-1.03%"
"Apr 02, 2020","6,813.5","6,635.8","7,262.2","6,573.3","0.53K","2.68%"
"Apr 01, 2020","6,635.8","6,441.5","6,719.9","6,160.1","0.33K","3.02%"
"Mar 31, 2020","6,441.5","6,403.6","6,539.3","6,350.0","0.24K","0.59%"
"Mar 30, 2020","6,403.6","5,895.8","6,605.8","5,855.2","0.38K","8.61%"
"Mar 29, 2020","5,895.8","6,271.6","6,288.4","5,888.0","0.23K","-5.99%"
"Mar 28, 2020","6,271.6","6,383.2","6,383.2","6,055.8","0.32K","-1.75%"
"Mar 27, 2020","6,383.2","6,771.4","6,871.6","6,275.0","0.26K","-5.73%"
"Mar 26, 2020","6,771.4","6,709.7","6,795.9","6,545.1","0.23K","0.92%"
"Mar 25, 2020","6,709.7","6,781.0","6,988.5","6,484.4","0.33K","-1.05%"
"Mar 24, 2020","6,781.0","6,483.1","6,849.2","6,424.3","0.44K","4.60%"
"Mar 23, 2020","6,483.1","5,849.9","6,615.0","5,726.1","0.37K","10.82%"
"Mar 22, 2020","5,849.9","6,212.2","6,402.0","5,798.1","0.35K","-5.83%"
"Mar 21, 2020","6,212.2","6,220.9","6,456.0","5,892.2","0.33K","-0.14%"
"Mar 20, 2020","6,220.9","6,220.4","6,937.9","5,688.6","0.65K","0.01%"
"Mar 19, 2020","6,220.4","5,411.0","6,439.7","5,295.4","0.63K","14.96%"
"Mar 18, 2020","5,411.0","5,381.4","5,451.0","5,060.9","0.41K","0.55%"
"Mar 17, 2020","5,381.4","5,057.4","5,558.5","4,945.9","0.48K","6.41%"
"Mar 16, 2020","5,057.4","5,422.9","5,422.9","4,520.1","1.05K","-6.74%"
"Mar 15, 2020","5,422.9","5,250.0","5,987.6","5,188.2","0.38K","3.29%"
"Mar 14, 2020","5,250.0","5,686.9","5,700.0","5,150.0","0.37K","-7.68%"
"Mar 13, 2020","5,686.9","4,920.5","6,047.7","4,001.1","1.28K","15.58%"
"Mar 12, 2020","4,920.5","7,942.1","7,988.8","4,707.3","1.44K","-38.05%"
"Mar 11, 2020","7,942.1","7,904.8","8,000.0","7,610.0","0.18K","0.47%"
"Mar 10, 2020","7,904.8","7,947.7","8,167.9","7,745.3","0.24K","-0.54%"
"Mar 09, 2020","7,947.7","8,047.8","8,200.5","7,648.3","0.31K","-1.38%"
"Mar 08, 2020","8,059.2","8,923.1","8,923.1","8,029.0","0.25K","-9.68%"
"Mar 07, 2020","8,923.1","9,159.7","9,211.8","8,866.4","0.12K","-2.58%"
"Mar 06, 2020","9,159.7","9,086.0","9,195.0","9,023.2","0.09K","0.81%"
"Mar 05, 2020","9,086.0","8,797.8","9,169.2","8,777.4","0.19K","3.28%"
"Mar 04, 2020","8,797.8","8,796.1","8,866.4","8,695.5","0.08K","0.02%"
"Mar 03, 2020","8,796.1","8,926.5","8,939.9","8,674.2","0.07K","-1.46%"
"Mar 02, 2020","8,926.5","8,572.8","8,986.7","8,530.0","0.12K","4.13%"
"Mar 01, 2020","8,572.8","8,559.0","8,778.6","8,450.0","0.08K","0.16%"
"Feb 29, 2020","8,559.0","8,698.3","8,821.0","8,559.0","0.05K","-1.60%"
"Feb 28, 2020","8,698.3","8,849.8","8,932.8","8,458.3","0.16K","-1.68%"
"Feb 27, 2020","8,847.3","8,821.3","8,985.0","8,533.0","0.15K","0.29%"
